,Year,Statistic,Name,Team,Value
797,1963,Slugging Average,Harmon Killebrew,Minnesota,.555
798,1963,Stolen Bases,Luis Aparicio,Baltimore,40
799,1963,Total Bases,Dick Stuart,Boston,319
800,1963,Triples,Zoilo Versalles,Minnesota,13
801,1964,Base on Balls,Norm Siebern,Baltimore,106
802,1964,Batting Average,Tony Oliva,Minnesota,.323
803,1964,Doubles,Tony Oliva,Minnesota,43
804,1964,Hits,Tony Oliva,Minnesota,217
805,1964,Home Runs,Harmon Killebrew,Minnesota,49
806,1964,On Base Percentage,Mickey Mantle,New York,.426
807,1964,RBI,Brooks Robinson,Baltimore,118
808,1964,Runs,Tony Oliva,Minnesota,109
809,1964,Slugging Average,Boog Powell,Baltimore,.606
810,1964,Stolen Bases,Luis Aparicio,Baltimore,57
811,1964,Total Bases,Tony Oliva,Minnesota,374
812,1964,Triples,Rich Rollins,Minnesota,10
813,1964,Triples,Zoilo Versalles,Minnesota,10
814,1965,Base on Balls,Rocky Colavito,Cleveland,93
815,1965,Batting Average,Tony Oliva,Minnesota,.321
816,1965,Doubles,Zoilo Versalles,Minnesota,45
817,1965,Doubles,Carl Yastrzemski,Boston,45
818,1965,Hits,Tony Oliva,Minnesota,185
819,1965,Home Runs,Tony Conigliaro,Boston,32
820,1965,On Base Percentage,Carl Yastrzemski,Boston,.398
821,1965,RBI,Rocky Colavito,Cleveland,108
822,1965,Runs,Zoilo Versalles,Minnesota,126
823,1965,Slugging Average,Carl Yastrzemski,Boston,.536
824,1965,Stolen Bases,Bert Campaneris,Kansas City,51
825,1965,Total Bases,Zoilo Versalles,Minnesota,308
826,1965,Triples,Bert Campaneris,Kansas City,12
827,1965,Triples,Zoilo Versalles,Minnesota,12
828,1966,Base on Balls,Harmon Killebrew,Minnesota,103
829,1966,Batting Average,Frank Robinson,Baltimore,.316
830,1966,Doubles,Carl Yastrzemski,Boston,39
831,1966,Hits,Tony Oliva,Minnesota,191
832,1966,Home Runs,Frank Robinson,Baltimore,49
833,1966,On Base Percentage,Frank Robinson,Baltimore,.415
834,1966,RBI,Frank Robinson,Baltimore,122
835,1966,Runs,Frank Robinson,Baltimore,122
836,1966,Slugging Average,Frank Robinson,Baltimore,.637
837,1966,Stolen Bases,Bert Campaneris,Kansas City,52
838,1966,Total Bases,Frank Robinson,Baltimore,367
839,1966,Triples,Bobby Knoop,California,11
840,1967,Base on Balls,Harmon Killebrew,Minnesota,131
841,1967,Batting Average,Carl Yastrzemski,Boston,.326
842,1967,Doubles,Tony Oliva,Minnesota,34
843,1967,Hits,Carl Yastrzemski,Boston,189
844,1967,Home Runs,Harmon Killebrew,Minnesota,44
845,1967,Home Runs,Carl Yastrzemski,Boston,44
846,1967,On Base Percentage,Carl Yastrzemski,Boston,.421
847,1967,RBI,Carl Yastrzemski,Boston,121
848,1967,Runs,Carl Yastrzemski,Boston,112
849,1967,Slugging Average,Carl Yastrzemski,Boston,.622
850,1967,Stolen Bases,Bert Campaneris,Kansas City,55
851,1967,Total Bases,Carl Yastrzemski,Boston,360
852,1967,Triples,Paul Blair,Baltimore,12
853,1968,Base on Balls,Carl Yastrzemski,Boston,119
854,1968,Batting Average,Carl Yastrzemski,Boston,.301
855,1968,Doubles,Reggie Smith,Boston,37
856,1968,Hits,Bert Campaneris,Oakland,177
857,1968,Home Runs,Frank Howard,Washington,44
858,1968,On Base Percentage,Carl Yastrzemski,Boston,.429
859,1968,RBI,Ken Harrelson,Boston,109
860,1968,Runs,Dick McAuliffe,Detroit,95
861,1968,Slugging Average,Frank Howard,Washington,.552
862,1968,Stolen Bases,Bert Campaneris,Oakland,62
863,1968,Total Bases,Frank Howard,Washington,330
864,1968,Triples,Jim Fregosi,California,13
865,1969,Base on Balls,Harmon Killebrew,Minnesota,145
866,1969,Batting Average,Rod Carew,Minnesota,.332
867,1969,Doubles,Tony Oliva,Minnesota,39
868,1969,Hits,Tony Oliva,Minnesota,197
869,1969,Home Runs,Harmon Killebrew,Minnesota,49
870,1969,On Base Percentage,Harmon Killebrew,Minnesota,.430
871,1969,RBI,Harmon Killebrew,Minnesota,140
872,1969,Runs,Reggie Jackson,Oakland,123
873,1969,Slugging Average,Reggie Jackson,Oakland,.608
874,1969,Stolen Bases,Tommy Harper,Seattle,73
875,1969,Total Bases,Frank Howard,Washington,340
876,1969,Triples,Del Unser,Washington,8
877,1970,Base on Balls,Frank Howard,Washington,132
878,1970,Batting Average,Alex Johnson,California,.329
879,1970,Doubles,Tony Oliva,Minnesota,36
880,1970,Doubles,Amos Otis,Kansas City,36
881,1970,Doubles,Cesar Tovar,Minnesota,36
882,1970,Hits,Tony Oliva,Minnesota,204
883,1970,Home Runs,Frank Howard,Washington,44
884,1970,On Base Percentage,Carl Yastrzemski,Boston,.453
885,1970,RBI,Frank Howard,Washington,126
886,1970,Runs,Carl Yastrzemski,Boston,125
887,1970,Slugging Average,Carl Yastrzemski,Boston,.592
888,1970,Stolen Bases,Bert Campaneris,Oakland,42
889,1970,Total Bases,Carl Yastrzemski,Boston,335
890,1970,Triples,Cesar Tovar,Minnesota,13
891,1971,Base on Balls,Harmon Killebrew,Minnesota,114
892,1971,Batting Average,Tony Oliva,Minnesota,.337
893,1971,Doubles,Reggie Smith,Boston,33
894,1971,Hits,Cesar Tovar,Minnesota,204
895,1971,Home Runs,Bill Melton,Chicago,33
896,1971,On Base Percentage,Bobby Murcer,New York,.429
897,1971,RBI,Harmon Killebrew,Minnesota,119
898,1971,Runs,Don Buford,Baltimore,99
899,1971,Slugging Average,Tony Oliva,Minnesota,.546
900,1971,Stolen Bases,Amos Otis,Kansas City,52
901,1971,Total Bases,Reggie Smith,Boston,302
902,1971,Triples,Freddie Patek,Kansas City,11
903,1972,Base on Balls,Dick Allen,Chicago,99
904,1972,Base on Balls,Roy White,New York,99
905,1972,Batting Average,Rod Carew,Minnesota,.318
906,1972,Doubles,Lou Piniella,Kansas City,33
907,1972,Hits,Joe Rudi,Oakland,181
908,1972,Home Runs,Dick Allen,Chicago,37
909,1972,On Base Percentage,Dick Allen,Chicago,.422
910,1972,RBI,Dick Allen,Chicago,113
911,1972,Runs,Bobby Murcer,New York,102
912,1972,Slugging Average,Dick Allen,Chicago,.603
913,1972,Stolen Bases,Bert Campaneris,Oakland,52
914,1972,Total Bases,Bobby Murcer,New York,314
915,1972,Triples,Joe Rudi,Oakland,9
916,1973,Base on Balls,John Mayberry,Kansas City,122
917,1973,Batting Average,Rod Carew,Minnesota,.350
918,1973,Doubles,Sal Bando,Oakland,32
919,1973,Doubles,Pedro Garcia,Milwaukee,32
920,1973,Hits,Rod Carew,Minnesota,203
921,1973,Home Runs,Reggie Jackson,Oakland,32
922,1973,On Base Percentage,John Mayberry,Kansas City,.420
923,1973,RBI,Reggie Jackson,Oakland,117
924,1973,Runs,Reggie Jackson,Oakland,99
925,1973,Slugging Average,Reggie Jackson,Oakland,.531
926,1973,Stolen Bases,Tommy Harper,Boston,54
927,1973,Total Bases,Sal Bando,Oakland,295
928,1973,Total Bases,Dave May,Milwaukee,295
929,1973,Total Bases,George Scott,Milwaukee,295
930,1973,Triples,Al Bumbry,Baltimore,11
931,1973,Triples,Rod Carew,Minnesota,11
932,1974,Base on Balls,Gene Tenace,Oakland,110
933,1974,Batting Average,Rod Carew,Minnesota,.364
934,1974,Doubles,Joe Rudi,Oakland,39
935,1974,Hits,Rod Carew,Minnesota,218
936,1974,Home Runs,Dick Allen,Chicago,32
937,1974,On Base Percentage,Rod Carew,Minnesota,.435
938,1974,RBI,Jeff Burroughs,Texas,118
939,1974,Runs,Carl Yastrzemski,Boston,93
940,1974,Slugging Average,Dick Allen,Chicago,.563
941,1974,Stolen Bases,Billy North,Oakland,54
942,1974,Total Bases,Joe Rudi,Oakland,287
