,Year,Statistic,Name,Team,Value
487,1955,Saves,Ray Narleski,Cleveland,19
488,1955,Shutouts,Billy Hoeft,Detroit,7
489,1955,Strikeouts,Herb Score,Cleveland,245
490,1955,Winning Percentage,Tommy Byrne,New York,.762
491,1955,Wins,Whitey Ford,New York,18
492,1955,Wins,Bob Lemon,Cleveland,18
493,1955,Wins,Frank Sullivan,Boston,18
494,1956,Complete Games,Bob Lemon,Cleveland,21
495,1956,Complete Games,Billy Pierce,Chicago,21
496,1956,ERA,Whitey Ford,New York,2.47
497,1956,Games,George Zuverink,Baltimore,62
498,1956,Saves,George Zuverink,Baltimore,16
499,1956,Shutouts,Herb Score,Cleveland,5
500,1956,Strikeouts,Herb Score,Cleveland,263
501,1956,Winning Percentage,Whitey Ford,New York,.760
502,1956,Wins,Frank Lary,Detroit,21
503,1957,Complete Games,Dick Donovan,Chicago,16
504,1957,Complete Games,Billy Pierce,Chicago,16
505,1957,ERA,Bobby Shantz,New York,2.45
506,1957,Games,George Zuverink,Baltimore,56
507,1957,Saves,Bob Grim,New York,19
508,1957,Shutouts,Jim Wilson,Chicago,5
509,1957,Strikeouts,Early Wynn,Cleveland,184
510,1957,Winning Percentage,Dick Donovan,Chicago,.727
511,1957,Winning Percentage,Tom Sturdivant,New York,.727
512,1957,Wins,Jim Bunning,Detroit,20
513,1957,Wins,Billy Pierce,Chicago,20
514,1958,Complete Games,Frank Lary,Detroit,19
515,1958,Complete Games,Billy Pierce,Chicago,19
516,1958,Complete Games,Bob Turley,New York,19
517,1958,ERA,Whitey Ford,New York,2.01
518,1958,Games,Tex Clevenger,Washington,55
519,1958,Saves,Ryne Duren,New York,20
520,1958,Shutouts,Whitey Ford,New York,7
521,1958,Strikeouts,Early Wynn,Chicago,179
522,1958,Winning Percentage,Bob Turley,New York,.750
523,1958,Wins,Bob Turley,New York,21
524,1959,Complete Games,Camilo Pascual,Washington,17
525,1959,ERA,Hoyt Wilhelm,Baltimore,2.19
